dong,school_count,subway_count,avg_price,school_score,subway_score,price_score
반포본동,5,1,0,22.73,7.69,0.0
반포1동,8,3,0,36.36,23.08,0.0
반포2동,7,2,0,31.82,15.38,0.0
반포3동,5,3,0,22.73,23.08,0.0
반포4동,7,3,0,31.82,23.08,0.0
방배본동,11,2,0,50.0,15.38,0.0
방배1동,6,2,0,27.27,15.38,0.0
방배2동,6,3,0,27.27,23.08,0.0
방배3동,6,1,0,27.27,7.69,0.0
방배4동,7,3,0,31.82,23.08,0.0
양재1동,4,0,0,18.18,0.0,0.0
양재2동,1,0,0,4.55,0.0,0.0
내곡동,1,0,0,4.55,0.0,0.0
신사동,4,1,59000,18.18,7.69,89.13
논현1동,1,4,0,4.55,30.77,0.0
논현2동,6,4,0,27.27,30.77,0.0
압구정동,5,1,0,22.73,7.69,0.0
청담동,6,1,134000,27.27,7.69,37.38
삼성1동,3,4,0,13.64,30.77,0.0
삼성2동,5,5,0,22.73,38.46,0.0
대치1동,17,2,0,77.27,15.38,0.0
대치2동,8,3,0,36.36,23.08,0.0
대치4동,12,1,0,54.55,7.69,0.0
역삼1동,2,3,0,9.09,23.08,0.0
역삼2동,8,2,0,36.36,15.38,0.0
도곡1동,6,2,0,27.27,15.38,0.0
도곡2동,12,2,0,54.55,15.38,0.0
개포1동,8,0,0,36.36,0.0,0.0
개포2동,15,1,0,68.18,7.69,0.0
개포4동,8,0,0,36.36,0.0,0.0
세곡동,4,0,115500,18.18,0.0,50.14
일원본동,6,1,0,27.27,7.69,0.0
일원1동,8,1,0,36.36,7.69,0.0
일원2동,7,2,0,31.82,15.38,0.0
수서동,5,1,140000,22.73,7.69,33.239999999999995
풍납1동,4,2,0,18.18,15.38,0.0
풍납2동,9,1,0,40.91,7.69,0.0
거여1동,9,3,0,40.91,23.08,0.0
거여2동,11,2,0,50.0,15.38,0.0
마천1동,6,1,0,27.27,7.69,0.0
마천2동,6,1,0,27.27,7.69,0.0
방이1동,11,6,0,50.0,46.15,0.0
방이2동,7,4,0,31.82,30.77,0.0
오륜동,11,3,0,50.0,23.08,0.0
오금동,13,4,0,59.09,30.77,0.0
송파1동,12,5,0,54.55,38.46,0.0
송파2동,13,5,0,59.09,38.46,0.0
석촌동,9,4,109000,40.91,30.77,54.63
삼전동,9,2,0,40.91,15.38,0.0
가락본동,13,6,0,59.09,46.15,0.0
가락1동,13,3,0,59.09,23.08,0.0
가락2동,12,4,0,54.55,30.77,0.0
문정1동,11,4,0,50.0,30.77,0.0
문정2동,4,2,0,18.18,15.38,0.0
장지동,9,2,111166,40.91,15.38,53.13
위례동,9,0,0,40.91,0.0,0.0
잠실본동,7,3,0,31.82,23.08,0.0
잠실2동,6,2,0,27.27,15.38,0.0
잠실3동,9,2,0,40.91,15.38,0.0
잠실4동,9,5,0,40.91,38.46,0.0
잠실6동,5,4,0,22.73,30.77,0.0
잠실7동,5,3,0,22.73,23.08,0.0
강일동,9,1,73000,40.91,7.69,79.47
상일동,11,1,108146,50.0,7.69,55.22
명일제1동,15,3,0,68.18,23.08,0.0
명일제2동,12,2,0,54.55,15.38,0.0
고덕제1동,8,1,0,36.36,7.69,0.0
고덕제2동,5,0,0,22.73,0.0,0.0
암사제1동,13,2,0,59.09,15.38,0.0
암사제2동,3,1,0,13.64,7.69,0.0
암사제3동,6,0,0,27.27,0.0,0.0
천호제1동,9,3,0,40.91,23.08,0.0
천호제2동,4,3,0,18.18,23.08,0.0
천호제3동,7,4,0,31.82,30.77,0.0
성내제1동,10,3,0,45.45,23.08,0.0
성내제2동,7,4,0,31.82,30.77,0.0
성내제3동,12,2,0,54.55,15.38,0.0
길동,7,2,81933,31.82,15.38,73.31
둔촌제1동,15,3,0,68.18,23.08,0.0
둔촌제2동,6,2,0,27.27,15.38,0.0
